time,cpu_usage,memory_usage,cpu_interrupts,cpu_calls,memory_used,memory_free,bytes_sent,bytes_received,disk_usage,gpu_utilization,gpu_memory,gpu_temperature,power_consumption
2024-09-13 13:51:47.146216,10.7,86.2,597615455,418686763,7084912640,1130147840,7901517,129627658,84.6,,,,
2024-09-13 13:52:03.422886,14.3,91.2,598016489,418950265,7488954368,726106112,8172890,131088691,84.6,,,,
2024-09-13 13:52:19.226317,21.6,93.5,598403958,419206626,7679627264,535433216,8700951,131569751,84.6,,,,
2024-09-13 13:52:34.975995,8.8,92.0,598621288,419333343,7559749632,655310848,8709581,131771590,84.6,,,,
2024-09-13 13:52:50.961630,9.5,92.5,598892934,419492755,7599460352,615600128,8757305,131784142,84.6,,,,
2024-09-13 13:53:07.743792,9.0,93.6,599191282,419659689,7689740288,525320192,8851368,131834608,84.6,,,,
2024-09-13 13:53:23.464880,8.7,94.2,599469615,419834841,7735414784,479645696,8948092,134466830,84.6,,,,
2024-09-13 13:53:39.195931,12.5,92.5,599822752,420051411,7602196480,612864000,9100232,137838027,84.6,,,,
2024-09-13 13:53:54.979265,8.3,86.2,600023337,420171406,7079825408,1135235072,9154859,138487108,84.6,,,,
2024-09-13 13:54:11.710274,10.0,82.6,600375408,420384416,6782111744,1432948736,9231657,141570365,84.6,,,,
2024-09-13 13:54:27.469676,4.7,79.4,600431506,420418047,6523879424,1691181056,9231982,141570743,84.6,,,,
2024-09-13 13:54:43.209024,5.1,79.4,600477019,420446126,6526017536,1689042944,9232187,141571005,84.6,,,,
2024-09-13 13:54:58.939591,5.3,80.2,600562675,420498317,6589124608,1625935872,9249277,141632247,84.6,,,,
2024-09-13 13:55:15.687246,5.5,80.2,600614516,420529405,6591307776,1623752704,9249552,141633117,84.6,,,,
2024-09-13 13:55:31.461062,4.8,80.1,600665748,420560077,6580903936,1634156544,9249722,141633635,84.6,,,,
2024-09-13 13:55:47.177796,5.6,80.4,600736089,420600564,6607945728,1607114752,9249776,141634189,84.6,,,,
2024-09-13 13:56:02.956366,5.0,80.1,600805616,420639796,6583422976,1631637504,9250434,141635035,84.6,,,,
2024-09-13 13:56:19.694422,5.2,80.1,600863992,420671026,6578008064,1637052416,9251376,141650831,84.6,,,,
2024-09-13 13:56:35.419504,3.9,80.1,600908301,420693705,6582763520,1632296960,9251431,141650897,84.6,,,,
